sim/cockpit2/gauges/indicators/altitude_ft_pilot,PLANE ALTITUDE,Feet,value
sim/cockpit2/gauges/indicators/vvi_fpm_pilot,VERTICAL SPEED,Feet per minute,value
sim/cockpit2/gauges/indicators/roll_AHARS_deg_pilot,ATTITUDE INDICATOR BANK DEGREES,Degrees,value
sim/cockpit2/gauges/indicators/pitch_AHARS_deg_pilot,ATTITUDE INDICATOR PITCH DEGREES,Degrees,value
sim/cockpit2/radios/indicators/nav1_hdef_dots_pilot,NAV CDI:1,Degrees,value
sim/cockpit2/radios/actuators/nav1_obs_deg_mag_pilot,GPS OBS VALUE,Degrees,value
sim/cockpit2/clock_timer/local_time_hours,LOCAL TIME,Hours,-value%1+value
sim/cockpit2/clock_timer/local_time_minutes,LOCAL TIME,Hours,value%1*60
sim/flightmodel/engine/POINT_pitch_deg[0],GENERAL ENG THROTTLE LEVER POSITION:1,Percent over 100,value/0.1*1.15
sim/cockpit2/gauges/indicators/slip_deg,TURN INDICATOR RATE,Radians per second,value
sim/cockpit2/gauges/indicators/heading_AHARS_deg_mag_pilot,PLANE HEADING DEGREES MAGNETIC,Degrees,value
sim/cockpit2/engine/indicators/EGT_deg_C[0],ENG EXHAUST GAS TEMPERATURE:1,Celsius,value
sim/flightmodel/weight/m_fuel[0],FUELSYSTEM TANK QUANTITY:1,Pounds,value*3.78541*100    
sim/cockpit2/temperature/outside_air_temp_degc,AMBIENT TEMPERATURE,Celsius,value
sim/cockpit2/engine/indicators/oil_temperature_deg_C[0],ENG OIL TEMPERATURE:1,Celsius,value
sim/cockpit2/engine/indicators/oil_pressure_psi[0],ENG OIL PRESSURE:1,PSI,value
sim/cockpit2/engine/indicators/engine_speed_rpm[0],GENERAL ENG RPM:1,RPM,value/1000
sim/cockpit2/engine/indicators/prop_speed_rpm[0],ROTOR RPM:1,RPM,value
sim/cockpit2/gauges/indicators/airspeed_kts_pilot,AIRSPEED INDICATED,Knots,value
sim/cockpit2/electrical/dc_voltmeter_value,ELECTRICAL BUS VOLTAGE,Volts,value
sim/flightmodel/engine/ENGN_bat_volt[0],ENG BATTERY VOLTAGE 0,Volts,value
sim/cockpit2/electrical/battery_voltage_indicated_volts[0],ELECTRICAL BATTERY VOLTAGE,Volts,value
sim/cockpit2/electrical/battery_on,ELECTRICAL MASTER BATTERY SWITCH,N/A,value
sim/cockpit2/switches/avionics_power_on,ELECTRICAL MASTER ALTERNATOR SWITCH,N/A,value
sim/cockpit2/switches/navigation_lights_on,LIGHTS NAV,N/A,value
